Country,Code,Year,Population,LifeExp,GDPperCap,Continent_Name
Namibia,NAM,1951,524000.0,39.554,3282.0,Africa
Switzerland,CHE,1951,4722000.0,68.848,9875.0,Europe
Sri Lanka,LKA,1951,8108000.0,53.038999999999994,1505.0,Asia
Japan,JPN,1951,84316000.0,61.583,2853.0,Asia
Chad,TCD,1951,2544000.0,35.675,1268.0,Africa
El Salvador,SLV,1951,2238000.0,43.586000000000006,1341.0,North America
Guatemala,GTM,1951,3212000.0,42.152,2073.0,North America
Nepal,NPL,1951,8664000.0,34.571,574.0,Asia
Guinea,GIN,1951,3054000.0,32.673,1263.0,Africa
Nicaragua,NIC,1951,1332000.0,41.385,1797.0,North America
Cote d'Ivoire,CIV,1951,2691000.0,29.175,1763.0,Africa
Malawi,MWI,1951,3012000.0,34.566,928.0,Africa
Dominica,DMA,1951,52000.0,54.398,2614.0,North America
Mongolia,MNG,1951,794000.0,42.638999999999996,688.0,Asia
Singapore,SGP,1951,1068000.0,58.873999999999995,2300.0,Asia
Turkey,TUR,1951,21951000.0,40.364000000000004,2096.0,Europe
Turkey,TUR,1951,21951000.0,40.364000000000004,2096.0,Asia
China,CHN,1951,569908992.0,43.263999999999996,899.0,Asia
Nigeria,NGA,1951,38424000.0,33.288000000000004,1640.0,Africa
Senegal,SEN,1951,2545000.0,34.76,2337.0,Africa
Barbados,BRB,1951,216000.0,53.205,4741.0,North America
North Korea,PRK,1951,10249000.0,31.963,518.0,Asia
South Africa,ZAF,1951,13922000.0,43.926,5337.0,Africa
Indonesia,IDN,1951,70849000.0,40.731,1245.0,Asia
Belgium,BEL,1951,8680000.0,67.19,7338.0,Europe
Netherlands,NLD,1951,10168000.0,71.55,7397.0,Europe
Egypt,EGY,1951,20949000.0,39.176,1489.0,Africa
Botswana,BWA,1951,424000.0,43.964,1338.0,Africa
Haiti,HTI,1951,3274000.0,36.361999999999995,2658.0,North America
United States,USA,1951,160872000.0,68.33800000000001,16126.0,North America
Cyprus,CYP,1951,500000.0,66.066,3623.0,Europe
Cape Verde,CPV,1951,186000.0,47.302,1152.0,Africa
Cyprus,CYP,1951,500000.0,66.066,3623.0,Asia
Benin,BEN,1951,2258000.0,32.955999999999996,1222.0,Africa
Laos,LAO,1951,1723000.0,40.486999999999995,629.0,Asia
Morocco,MAR,1951,9243000.0,45.188,2717.0,Africa
South Korea,KOR,1951,19453000.0,37.343,1029.0,Asia
Central African Republic,CAF,1951,1342000.0,32.008,1192.0,Africa
Bolivia,BOL,1951,3124000.0,39.248000000000005,1751.0,South America
Taiwan,TWN,1951,7931000.0,56.27,1445.0,Asia
Gambia,GMB,1951,309000.0,29.826,1874.0,Africa
Chile,CHL,1951,6730000.0,54.091,4489.0,South America
Mozambique,MOZ,1951,6059000.0,34.066,475.0,Africa
Cuba,CUB,1951,6050000.0,58.519,3878.0,North America
Saudi Arabia,SAU,1951,3199000.0,41.214,4570.0,Asia
Myanmar,MMR,1951,18104000.0,34.658,626.0,Asia
Kenya,KEN,1951,6242000.0,41.971000000000004,1595.0,Africa
Guinea-Bissau,GNB,1951,544000.0,35.204,513.0,Africa
Hong Kong,HKG,1951,2058000.0,62.38,3627.0,Asia
Jordan,JOR,1951,536000.0,45.198,2031.0,Asia
Togo,TGO,1951,1425000.0,34.273,922.0,Africa
Ecuador,ECU,1951,3561000.0,47.716,2397.0,South America
Sao Tome and Principe,STP,1951,59000.0,46.123999999999995,1139.0,Africa
India,IND,1951,382376992.0,36.103,1426.0,Asia
New Zealand,NZL,1951,1948000.0,69.42699999999999,9878.0,Oceania
Sudan,SDN,1951,5885000.0,43.708,1797.0,Africa
Zimbabwe,ZWE,1951,2832000.0,49.04,2026.0,Africa
Brazil,BRA,1952,57284000.0,50.622,1632.0,South America
Honduras,HND,1952,1632000.0,41.519,1977.0,North America
Seychelles,SYC,1952,37000.0,61.79600000000001,5286.0,Africa
Singapore,SGP,1952,1120000.0,59.818000000000005,1598.0,Asia
Dominican Republic,DOM,1952,2518000.0,45.607,1844.0,North America
Senegal,SEN,1952,2607000.0,35.253,2347.0,Africa
Montenegro,MNE,1952,411000.0,59.555,3175.0,Europe
New Zealand,NZL,1952,1993000.0,69.668,10617.0,Oceania
Morocco,MAR,1952,9529000.0,45.498000000000005,2720.0,Africa
Taiwan,TWN,1952,8251000.0,57.63399999999999,1572.0,Asia
Tunisia,TUN,1952,3773000.0,38.643,1772.0,Africa
Cape Verde,CPV,1952,191000.0,47.504,1167.0,Africa
Mauritania,MRT,1952,683000.0,39.262,814.0,Africa
Gabon,GAB,1952,479000.0,36.594,4216.0,Africa
Slovenia,SVN,1952,1492000.0,65.359,3625.0,Europe
Democratic Republic of Congo,COD,1952,12681000.0,38.899,2045.0,Africa
Burkina Faso,BFA,1952,4367000.0,30.706999999999997,1419.0,Africa
Costa Rica,CRI,1952,1002000.0,55.729,3071.0,North America
Luxembourg,LUX,1952,300000.0,65.821,15130.0,Europe
Burundi,BDI,1952,2406000.0,38.876999999999995,832.0,Africa
India,IND,1952,388799008.0,36.687,1380.0,Asia
Panama,PAN,1952,904000.0,56.538000000000004,1968.0,North America
United States,USA,1952,163266000.0,68.601,16443.0,North America
Croatia,HRV,1952,3923000.0,61.023999999999994,3141.0,Europe
Turkey,TUR,1952,22509000.0,40.759,2359.0,Europe
Gambia,GMB,1952,314000.0,30.123,1871.0,Africa
Turkey,TUR,1952,22509000.0,40.759,2359.0,Asia
Mongolia,MNG,1952,808000.0,42.918,710.0,Asia
Serbia,SRB,1952,6963000.0,58.873000000000005,1526.0,Europe
Guatemala,GTM,1952,3312000.0,42.667,2057.0,North America
Sudan,SDN,1952,6041000.0,44.277,1827.0,Africa
Mali,MLI,1952,4811000.0,26.855999999999998,1250.0,Africa
South Africa,ZAF,1952,14226000.0,44.555,4914.0,Africa
Vietnam,VNM,1952,25977000.0,53.111000000000004,938.0,Asia
Botswana,BWA,1952,435000.0,44.595,1323.0,Africa
Trinidad and Tobago,TTO,1952,676000.0,57.747,5544.0,North America
Lebanon,LBN,1952,1393000.0,60.261,7875.0,Asia
Germany,DEU,1952,70620000.0,67.378,6718.0,Europe
Madagascar,MDG,1952,4257000.0,36.076,987.0,Africa
Syria,SYR,1952,3591000.0,47.308,2843.0,Asia
Mozambique,MOZ,1952,6165000.0,34.688,484.0,Africa
Central African Republic,CAF,1952,1356000.0,32.499,1220.0,Africa
Cambodia,KHM,1952,4656000.0,40.243,579.0,Asia
Bulgaria,BGR,1952,7372000.0,61.855,3351.0,Europe
Sierra Leone,SLE,1952,2088000.0,28.588,1812.0,Africa
Ghana,GHA,1952,5269000.0,41.917,2244.0,Africa
Malawi,MWI,1952,3072000.0,34.741,947.0,Africa
Canada,CAN,1952,14445000.0,68.922,12860.0,North America
Venezuela,VEN,1952,5974000.0,55.173,4651.0,South America
Djibouti,DJI,1952,65000.0,40.853,4410.0,Africa
Chile,CHL,1952,6870000.0,54.413000000000004,4820.0,South America
Kenya,KEN,1952,6416000.0,42.333,1353.0,Africa
Mexico,MEX,1952,29590000.0,50.20399999999999,2766.0,North America
Liberia,LBR,1952,959000.0,32.516999999999996,792.0,Africa
Saudi Arabia,SAU,1952,3284000.0,41.699,4781.0,Asia
Guinea,GIN,1952,3096000.0,32.946,1269.0,Africa
Denmark,DNK,1952,4346000.0,70.943,9397.0,Europe
Greece,GRC,1952,7814000.0,65.619,2816.0,Europe
Cyprus,CYP,1952,507000.0,66.518,4060.0,Europe
Cyprus,CYP,1952,507000.0,66.518,4060.0,Asia
Malta,MLT,1952,313000.0,65.486,1700.0,Europe
Dominica,DMA,1952,52000.0,54.958,2745.0,North America
Lesotho,LSO,1952,729000.0,44.766999999999996,421.0,Africa
Libya,LBY,1952,1164000.0,36.538000000000004,3343.0,Africa
Laos,LAO,1952,1764000.0,40.781,636.0,Asia
Cameroon,CMR,1952,4462000.0,38.330999999999996,902.0,Africa
Malaysia,MYS,1952,6450000.0,54.571999999999996,2516.0,Asia
Guinea-Bissau,GNB,1952,553000.0,35.461999999999996,542.0,Africa
Mauritius,MUS,1952,521000.0,49.636,3324.0,Africa
Cuba,CUB,1952,6179000.0,59.107,4142.0,North America
Haiti,HTI,1952,3330000.0,37.149,2764.0,North America
Tanzania,TZA,1952,8051000.0,40.805,1382.0,Africa
Oman,OMN,1952,469000.0,35.6,1417.0,Asia
Netherlands,NLD,1952,10298000.0,71.819,7669.0,Europe
Togo,TGO,1952,1442000.0,34.963,937.0,Africa
Myanmar,MMR,1952,18441000.0,35.885999999999996,630.0,Asia
